Date,BTC
42705.00,756.773987
42706.00,777.94397
42707.00,771.155029
42708.00,773.872009
42709.00,758.700012
42710.00,764.223999
42711.00,768.132019
42712.00,770.809998
42713.00,772.794006
42714.00,774.650024
42715.00,769.731018
42716.00,780.086975
42717.00,780.55603
42718.00,781.481018
42719.00,778.088013
42720.00,784.906982
42721.00,790.828979
42722.00,790.530029
42723.00,792.713989
42724.00,800.875977
42725.00,834.281006
42726.00,864.539978
42727.00,921.984009
42728.00,898.822021
42729.00,896.182983
42730.00,907.609985
42731.00,933.197998
42732.00,975.921021
42733.00,973.497009
42734.00,961.237976
42735.00,963.742981
42736.00,998.325012
42737.00,1021.75
42738.00,1043.839966
42739.00,1154.72998
42740.00,1013.380005
42741.00,902.200989
42742.00,908.585022
42743.00,911.198975
42744.00,902.828003
42745.00,907.679016
42746.00,777.757019
42747.00,804.833984
42748.00,823.984009
42749.00,818.411987
42750.00,821.797974
42751.00,831.533997
42752.00,907.937988
42753.00,886.617981
42754.00,899.072998
42755.00,895.026001
42756.00,921.789001
42757.00,924.672974
42758.00,921.012024
42759.00,892.687012
42760.00,901.541992
42761.00,917.585999
42762.00,919.75
42763.00,921.590027
42764.00,919.495972
42765.00,920.382019
42766.00,970.403015
42767.00,989.02301
42768.00,1011.799988
42769.00,1029.910034
42770.00,1042.900024
42771.00,1027.339966
42772.00,1038.150024
42773.00,1061.349976
42774.00,1063.069946
42775.00,994.382996
42776.00,988.674011
42777.00,1004.450012
42778.00,999.18103
42779.00,990.642029
42780.00,1004.549988
42781.00,1007.47998
42782.00,1027.439941
42783.00,1046.209961
42784.00,1054.420044
42785.00,1047.869995
42786.00,1079.97998
42787.00,1115.300049
42788.00,1117.439941
42789.00,1166.719971
42790.00,1173.680054
42791.00,1143.839966
42792.00,1165.199951
42793.00,1179.969971
42794.00,1179.969971
42795.00,1222.5
42796.00,1251.01001
42797.00,1274.98999
42798.00,1255.150024
42799.00,1267.119995
42800.00,1272.829956
42801.00,1223.540039
42802.00,1150
42803.00,1188.48999
42804.00,1116.719971
42805.00,1175.829956
42806.00,1221.380005
42807.00,1231.920044
42808.00,1240
42809.00,1249.609985
42810.00,1187.810059
42811.00,1100.22998
42812.00,973.817993
42813.00,1036.73999
42814.00,1054.22998
42815.00,1120.540039
42816.00,1049.140015
42817.00,1038.589966
42818.00,937.52002
42819.00,972.778992
42820.00,966.724976
42821.00,1045.77002
42822.00,1047.150024
42823.00,1039.969971
42824.00,1026.430054
42825.00,1071.790039
42826.00,1080.5
42827.00,1102.170044
42828.00,1143.810059
42829.00,1133.25
42830.00,1124.780029
42831.00,1182.680054
42832.00,1176.900024
42833.00,1175.949951
42834.00,1187.869995
42835.00,1187.130005
42836.00,1205.01001
